date,category,total_demand,n_batches,avg_demand_per_batch,month,year,day_of_week
2011-01-29,FOODS_1,297.0,216.0,1.375,1,2011,Saturday
2011-01-30,FOODS_1,284.0,216.0,1.3148148148148149,1,2011,Sunday
2011-01-31,FOODS_1,214.0,214.0,1.0,1,2011,Monday
2011-02-01,FOODS_1,175.0,214.0,0.8177570093457944,2,2011,Tuesday
2011-02-02,FOODS_1,182.0,214.0,0.8504672897196262,2,2011,Wednesday
2011-02-03,FOODS_1,191.0,214.0,0.8925233644859814,2,2011,Thursday
2011-02-04,FOODS_1,224.0,214.0,1.0467289719626167,2,2011,Friday
2011-02-05,FOODS_1,263.0,214.0,1.2289719626168225,2,2011,Saturday
2011-02-06,FOODS_1,245.0,214.0,1.144859813084112,2,2011,Sunday
2011-02-07,FOODS_1,176.0,214.0,0.822429906542056,2,2011,Monday
2011-02-08,FOODS_1,217.0,411.0,0.5279805352798054,2,2011,Tuesday
2011-02-09,FOODS_1,156.0,411.0,0.3795620437956204,2,2011,Wednesday
2011-02-10,FOODS_1,242.0,408.0,0.5931372549019608,2,2011,Thursday
2011-02-11,FOODS_1,327.0,408.0,0.8014705882352942,2,2011,Friday
2011-02-12,FOODS_1,409.0,408.0,1.0024509803921569,2,2011,Saturday
2011-02-13,FOODS_1,446.0,408.0,1.0931372549019607,2,2011,Sunday
2011-02-14,FOODS_1,269.0,408.0,0.6593137254901961,2,2011,Monday
2011-02-15,FOODS_1,169.0,408.0,0.41421568627450983,2,2011,Tuesday
2011-02-16,FOODS_1,164.0,408.0,0.4019607843137255,2,2011,Wednesday
2011-02-17,FOODS_1,167.0,408.0,0.40931372549019607,2,2011,Thursday
2011-02-18,FOODS_1,226.0,603.0,0.3747927031509121,2,2011,Friday
2011-02-19,FOODS_1,301.0,600.0,0.5016666666666667,2,2011,Saturday
2011-02-20,FOODS_1,303.0,594.0,0.51010101010101,2,2011,Sunday
2011-02-21,FOODS_1,228.0,594.0,0.3838383838383838,2,2011,Monday
