batch_id,item_id,category,food_category,received_date,selling_price
TEST_000,ITEM_0,FOODS_2,Produce,2026-01-01,11.33
TEST_001,ITEM_1,FOODS_3,Baked Goods,2026-01-02,18.77
TEST_002,ITEM_2,FOODS_2,Dairy,2026-01-03,16.5
TEST_003,ITEM_3,FOODS_3,Baked Goods,2026-01-04,1.05
TEST_004,ITEM_4,FOODS_2,Baked Goods,2026-01-05,17.29
TEST_005,ITEM_0,FOODS_3,Produce,2026-01-06,1.64
TEST_006,ITEM_1,FOODS_2,Dairy,2026-01-07,14.86
TEST_007,ITEM_2,FOODS_1,Produce,2026-01-08,4.34
TEST_008,ITEM_3,FOODS_2,Baked Goods,2026-01-09,17.4
TEST_009,ITEM_4,FOODS_2,Baked Goods,2026-01-10,11.29
TEST_010,ITEM_0,FOODS_2,Produce,2026-01-11,6.69
TEST_011,ITEM_1,FOODS_1,Baked Goods,2026-01-12,9.03
TEST_012,ITEM_2,FOODS_1,Produce,2026-01-13,1.54
TEST_013,ITEM_3,FOODS_2,Baked Goods,2026-01-14,3.36
TEST_014,ITEM_4,FOODS_3,Dairy,2026-01-15,13.74
